Year,Quarter,Area of Residence,Reason for Journey,Avg Length of Stay,Expenditure,Overseas Trip Percentage,Total Trips,Number of Trips,Season
2016,2,United States and Canada,Visit to friends/relatives,7.9,29.0,8.0,2598900,207912.0,Spring
2016,3,United States and Canada,Visit to friends/relatives,10.8,54.0,11.0,3061500,336765.0,Summer
2016,4,United States and Canada,Visit to friends/relatives,8.8,34.0,9.0,2139200,192528.0,Autumn
2017,1,United States and Canada,Visit to friends/relatives,9.3,30.0,9.0,1796100,161649.0,Winter
2017,2,United States and Canada,Visit to friends/relatives,8.0,40.0,11.0,2769400,304634.0,Spring
2017,3,United States and Canada,Visit to friends/relatives,10.1,59.0,13.0,3095600,402428.0,Summer
2017,4,United States and Canada,Visit to friends/relatives,7.3,35.0,9.0,2270900,204381.0,Autumn
2018,1,United States and Canada,Visit to friends/relatives,8.6,35.0,10.0,1920700,192070.0,Winter
2018,2,United States and Canada,Visit to friends/relatives,7.5,46.0,10.0,2951900,295190.0,Spring
2018,3,United States and Canada,Visit to friends/relatives,9.6,60.0,13.0,3330900,433017.0,Summer
2018,4,United States and Canada,Visit to friends/relatives,7.7,31.0,9.0,2412800,217152.0,Autumn
2019,1,United States and Canada,Visit to friends/relatives,9.4,33.0,11.0,2026700,222937.0,Winter
2019,2,United States and Canada,Visit to friends/relatives,7.8,42.0,10.0,3021800,302180.0,Spring
2019,3,United States and Canada,Visit to friends/relatives,10.2,68.0,13.0,3334400,433472.0,Summer
